Pillar,Price
Jan-22,    40.795 
Feb-22,    40.795 
Mar-22,    40.795 
Apr-22,    40.795 
May-22,    40.995 
Jun-22,    41.387 
Jul-22,    41.703 
Aug-22,    41.541 
Sep-22,    41.442 
Oct-22,    41.211 
Nov-22,    40.500 
Dec-22,    40.042 
Jan-23,    39.660 
Feb-23,    39.249 
Mar-23,    38.601 
Apr-23,    38.251 
May-23,    37.849 
Jun-23,    37.418 
Jul-23,    36.946 
Aug-23,    35.941 
Sep-23,    35.371 
Oct-23,    34.727 
Nov-23,    34.131 
Dec-23,    33.688 
Jan-24,    33.459 
Feb-24,    33.088 
Mar-24,    32.637 
Apr-24,    32.176 
May-24,    31.775 
Jun-24,    31.449 
Jul-24,    30.874 
Aug-24,    30.530 
Sep-24,    30.122 
Oct-24,    29.801 
Nov-24,    29.502 
Dec-24,    29.358 
Jan-25,    29.039 
Feb-25,    28.931 
Mar-25,    28.753 
Apr-25,    28.631 
May-25,    28.491 
Jun-25,    28.325 
Jul-25,    28.142 
Aug-25,    28.032 
Sep-25,    27.886 
Oct-25,    27.780 
Nov-25,    27.651 
Dec-25,    28.536 
Jan-26,    27.415 
Feb-26,    27.313 
Mar-26,    27.196 
Apr-26,    27.094 
May-26,    27.006 
Jun-26,    26.930 
Jul-26,    26.817 
Aug-26,    26.701 
Sep-26,    26.596 
Oct-26,    26.503 
Nov-26,    26.422 
Dec-26,    26.319 
Jan-27,    26.218 
Feb-27,    26.118 
Mar-27,    26.030 
Apr-27,    26.030 
May-27,    26.030 
Jun-27,    26.030 
Jul-27,    26.030 
Aug-27,    26.030 
Sep-27,    26.030 
Oct-27,    26.030 
Nov-27,    26.030 
Dec-27,    26.030 
Jan-28,    26.030 
Feb-28,    26.030 
Mar-28,    26.030 
Apr-28,    26.030 
May-28,    26.030 
Jun-28,    26.030 
Jul-28,    26.030 
Aug-28,    26.030 
Sep-28,    26.030 
Oct-28,    26.030 
Nov-28,    26.030 
Dec-28,    26.030 
Jan-29,    26.030 
Feb-29,    26.030 
Mar-29,    26.030 
Apr-29,    26.030 
May-29,    26.030 
Jun-29,    26.030 
Jul-29,    26.030 
Aug-29,    26.030 
Sep-29,    26.030 
Oct-29,    26.030 
Nov-29,    26.030 
Dec-29,    26.030 
Jan-30,    26.030 
Feb-30,    26.030 
Mar-30,    26.030 
Apr-30,    26.030 
May-30,    26.030 
Jun-30,    26.030 
Jul-30,    26.030 
Aug-30,    26.030 
Sep-30,    26.030 
Oct-30,    26.030 
Nov-30,    26.030 
Dec-30,    26.030 
Jan-31,    26.030 
Feb-31,    26.030 
Mar-31,    26.030 
Apr-31,    26.030 
May-31,    26.030 
Jun-31,    26.030 
Jul-31,    26.030 
Aug-31,    26.030 
Sep-31,    26.030 
Oct-31,    26.030 
Nov-31,    26.030 
Dec-31,    26.030 
Jan-32,    26.030 
Feb-32,    26.030 
Mar-32,    26.030 
Apr-32,    26.030 
May-32,    26.030 
Jun-32,    26.030 
Jul-32,    26.030 
Aug-32,    26.030 
Sep-32,    26.030 
Oct-32,    26.030 
Nov-32,    26.030 
Dec-32,    26.030 
Jan-33,    26.030 
Feb-33,    26.030 
Mar-33,    26.030 
Apr-33,    26.030 
May-33,    26.030 
Jun-33,    26.030 
Jul-33,    26.030 
Aug-33,    26.030 
Sep-33,    26.030 
Oct-33,    26.030 
Nov-33,    26.030 
Dec-33,    26.030 
Jan-34,    26.030 
Feb-34,    26.030 
Mar-34,    26.030 
Apr-34,    26.030 
May-34,    26.030 
Jun-34,    26.030 
Jul-34,    26.030 
Aug-34,    26.030 
Sep-34,    26.030 
Oct-34,    26.030 
Nov-34,    26.030 
Dec-34,    26.030 
Jan-35,    26.030 
Feb-35,    26.030 
Mar-35,    26.030 
Apr-35,    26.030 
May-35,    26.030 
Jun-35,    26.030 
Jul-35,    26.030 
Aug-35,    26.030 
Sep-35,    26.030 
Oct-35,    26.030 
Nov-35,    26.030 
Dec-35,    26.030 
Jan-36,    26.030 
Feb-36,    26.030 
Mar-36,    26.030 
Apr-36,    26.030 
May-36,    26.030 
Jun-36,    26.030 
Jul-36,    26.030 
Aug-36,    26.030 
Sep-36,    26.030 
Oct-36,    26.030 
Nov-36,    26.030 
Dec-36,    26.030 
Jan-37,    26.030 
Feb-37,    26.030 
Mar-37,    26.030 
Apr-37,    26.030 
May-37,    26.030 
Jun-37,    26.030 
Jul-37,    26.030 
Aug-37,    26.030 
Sep-37,    26.030 
Oct-37,    26.030 
Nov-37,    26.030 
Dec-37,    26.030 
Jan-38,    26.030 
Feb-38,    26.030 
Mar-38,    26.030 
Apr-38,    26.030 
May-38,    26.030 
Jun-38,    26.030 
Jul-38,    26.030 
Aug-38,    26.030 
Sep-38,    26.030 
Oct-38,    26.030 
Nov-38,    26.030 
Dec-38,    26.030 
Jan-39,    26.030 
Feb-39,    26.030 
Mar-39,    26.030 
Apr-39,    26.030 
May-39,    26.030 
Jun-39,    26.030 
Jul-39,    26.030 
Aug-39,    26.030 
Sep-39,    26.030 
Oct-39,    26.030 
Nov-39,    26.030 
Dec-39,    26.030 
Jan-40,    26.030 
Feb-40,    26.030 
Mar-40,    26.030 
Apr-40,    26.030 
May-40,    26.030 
Jun-40,    26.030 
Jul-40,    26.030 
Aug-40,    26.030 
Sep-40,    26.030 
Oct-40,    26.030 
Nov-40,    26.030 
Dec-40,    26.030 
Jan-41,    26.030 
Jan-00,    26.030 
Jan-41,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
Jan-00,    26.030 
