PILLAR,PRICE
TODAY,64.891
JUL-19,62.823
AUG-19,62.387
SEP-19,61.967
OCT-19,61.54
NOV-19,61.13
DEC-19,60.801
JAN-20,60.561
FEB-20,60.36
MAR-20,60.171
APR-20,60.011
MAY-20,59.831
JUN-20,59.651
JUL-20,59.492
AUG-20,59.341
SEP-20,59.181
OCT-20,59.033
NOV-20,58.894
DEC-20,58.798
JAN-21,58.715
FEB-21,58.655
MAR-21,58.595
APR-21,58.557
MAY-21,58.544
JUN-21,58.527
JUL-21,58.497
AUG-21,58.487
SEP-21,58.456
OCT-21,58.439
NOV-21,58.409
DEC-21,58.397
JAN-22,58.379
FEB-22,58.349
MAR-22,58.329
APR-22,58.309
MAY-22,58.29
JUN-22,58.279
JUL-22,58.259
AUG-22,58.24
SEP-22,58.23
OCT-22,58.221
NOV-22,58.241
DEC-22,58.262
JAN-23,58.281
FEB-23,58.301
MAR-23,58.321
APR-23,58.341
MAY-23,58.361
JUN-23,58.391
JUL-23,58.421
AUG-23,58.451
SEP-23,58.481
OCT-23,58.511
NOV-23,58.531
DEC-23,58.552
JAN-24,0
FEB-24,0
MAR-24,0
APR-24,0
MAY-24,0
JUN-24,0
JUL-24,0
AUG-24,0
SEP-24,0
OCT-24,0
NOV-24,0
DEC-24,0
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
