Pillar,Price
Jan-22,    86.993 
Feb-22,    89.223 
Mar-22,    87.702 
Apr-22,    86.489 
May-22,    85.469 
Jun-22,    84.496 
Jul-22,    83.693 
Aug-22,    82.918 
Sep-22,    82.210 
Oct-22,    81.449 
Nov-22,    80.802 
Dec-22,    80.161 
Jan-23,    79.665 
Feb-23,    79.166 
Mar-23,    78.680 
Apr-23,    78.216 
May-23,    77.772 
Jun-23,    77.362 
Jul-23,    76.982 
Aug-23,    76.603 
Sep-23,    76.222 
Oct-23,    75.844 
Nov-23,    75.484 
Dec-23,    75.121 
Jan-24,    74.787 
Feb-24,    74.495 
Mar-24,    74.186 
Apr-24,    73.909 
May-24,    73.660 
Jun-24,    73.427 
Jul-24,    73.158 
Aug-24,    72.878 
Sep-24,    72.609 
Oct-24,    72.384 
Nov-24,    72.253 
Dec-24,    72.091 
Jan-25,    71.900 
Feb-25,    71.669 
Mar-25,    71.441 
Apr-25,    71.256 
May-25,    71.174 
Jun-25,    71.030 
Jul-25,    70.832 
Aug-25,    70.651 
Sep-25,    70.462 
Oct-25,    70.297 
Nov-25,    70.216 
Dec-25,    70.122 
Jan-26,    70.036 
Feb-26,    69.945 
Mar-26,    69.843 
Apr-26,    69.697 
May-26,    69.637 
Jun-26,    69.567 
Jul-26,    69.496 
Aug-26,    69.398 
Sep-26,    69.272 
Oct-26,    69.109 
Nov-26,    69.079 
Dec-26,    69.047 
Jan-27,    69.019 
Feb-27,    68.989 
Mar-27,    68.969 
Apr-27,    68.939 
May-27,    68.918 
Jun-27,    68.898 
Jul-27,    68.859 
Aug-27,    68.829 
Sep-27,    68.797 
Oct-27,    68.731 
Nov-27,    68.750 
Dec-27,    68.761 
Jan-28,    68.781 
Feb-28,    68.791 
Mar-28,    68.801 
Apr-28,    68.811 
May-28,    68.821 
Jun-28,    68.821 
Jul-28,    68.841 
Aug-28,    68.851 
Sep-28,    68.861 
Oct-28,    68.871 
Nov-28,    68.861 
Dec-28,    68.861 
Jan-29,    68.881 
Feb-29,    68.891 
Mar-29,    68.901 
Apr-29,    68.892 
May-29,    68.892 
Jun-29,    68.892 
Jul-29,    68.892 
Aug-29,    68.892 
Sep-29,    68.892 
Oct-29,    68.892 
Nov-29,    68.892 
Dec-29,    68.892 
Jan-30,    68.892 
Feb-30,    68.892 
Mar-30,    68.892 
Apr-30,    68.892 
May-30,    68.892 
Jun-30,    68.892 
Jul-30,    68.892 
Aug-30,    68.892 
Sep-30,    68.892 
Oct-30,    68.892 
Nov-30,    68.892 
Dec-30,    68.892 
Jan-31,    68.892 
Feb-31,    68.892 
Mar-31,    68.892 
Apr-31,    68.892 
May-31,    68.892 
Jun-31,    68.892 
Jul-31,    68.892 
Aug-31,    68.892 
Sep-31,    68.892 
Oct-31,    68.892 
Nov-31,    68.892 
Dec-31,    68.892 
Jan-32,    68.892 
Feb-32,    68.892 
Mar-32,    68.892 
Apr-32,    68.892 
May-32,    68.892 
Jun-32,    68.892 
Jul-32,    68.892 
Aug-32,    68.892 
Sep-32,    68.892 
Oct-32,    68.892 
Nov-32,    68.892 
Dec-32,    68.892 
Jan-33,    68.892 
Feb-33,    68.892 
Mar-33,    68.892 
Apr-33,    68.892 
May-33,    68.892 
Jun-33,    68.892 
