Pillar,Price
Jan-22,    22.793 
Feb-22,    44.499 
Mar-22,    44.420 
Apr-22,    43.069 
May-22,    43.694 
Jun-22,    41.981 
Jul-22,    43.331 
Aug-22,    42.052 
Sep-22,    41.247 
Oct-22,    40.216 
Nov-22,    39.595 
Dec-22,    38.703 
Jan-23,    38.571 
Feb-23,    38.157 
Mar-23,    37.555 
Apr-23,    36.964 
May-23,    36.412 
Jun-23,    35.787 
Jul-23,    35.298 
Aug-23,    34.625 
Sep-23,    33.954 
Oct-23,    33.471 
Nov-23,    32.990 
Dec-23,    32.417 
Jan-24,    30.368 
Feb-24,    29.953 
Mar-24,    29.624 
Apr-24,    29.189 
May-24,    28.831 
Jun-24,    28.478 
Jul-24,    28.122 
Aug-24,    27.839 
Sep-24,    27.585 
Oct-24,    27.394 
Nov-24,    27.233 
Dec-24,    27.110 
Jan-25,    27.116 
Feb-25,    27.132 
Mar-25,    27.150 
Apr-25,    27.167 
May-25,    27.185 
Jun-25,    27.200 
Jul-25,    27.216 
Aug-25,    27.231 
Sep-25,    27.239 
Oct-25,    27.247 
Nov-25,    27.250 
Dec-25,    27.256 
Jan-26,    27.256 
Feb-26,    27.256 
Mar-26,    27.256 
Apr-26,    27.256 
May-26,    27.256 
Jun-26,    27.256 
Jul-26,    27.256 
Aug-26,    27.256 
Sep-26,    27.256 
Oct-26,    27.256 
Nov-26,    27.256 
Dec-26,    27.256 
Jan-27,    27.256 
Feb-27,    27.256 
Mar-27,    27.256 
Apr-27,    27.256 
May-27,    27.256 
Jun-27,    27.256 
Jul-27,    27.256 
Aug-27,    27.256 
Sep-27,    27.256 
Oct-27,    27.256 
Nov-27,    27.256 
Dec-27,    27.256 
Jan-28,    27.256 
Feb-28,    27.256 
Mar-28,    27.256 
Apr-28,    27.256 
May-28,    27.256 
Jun-28,    27.256 
Jul-28,    27.256 
Aug-28,    27.256 
Sep-28,    27.256 
Oct-28,    27.256 
Nov-28,    27.256 
Dec-28,    27.256 
Jan-29,    27.256 
Feb-29,    27.256 
Mar-29,    27.256 
Apr-29,    27.256 
May-29,    27.256 
Jun-29,    27.256 
Jul-29,    27.256 
Aug-29,    27.256 
Sep-29,    27.256 
Oct-29,    27.256 
Nov-29,    27.256 
Dec-29,    27.256 
Jan-30,    27.256 
Feb-30,    27.256 
Mar-30,    27.256 
Apr-30,    27.256 
May-30,    27.256 
Jun-30,    27.256 
Jul-30,    27.256 
Aug-30,    27.256 
Sep-30,    27.256 
Oct-30,    27.256 
Nov-30,    27.256 
Dec-30,    27.256 
Jan-31,    27.256 
Feb-31,    27.256 
Mar-31,    27.256 
Apr-31,    27.256 
May-31,    27.256 
Jun-31,    27.256 
Jul-31,    27.256 
Aug-31,    27.256 
Sep-31,    27.256 
Oct-31,    27.256 
Nov-31,    27.256 
Dec-31,    27.256 
Jan-32,    27.256 
Feb-32,    27.256 
Mar-32,    27.256 
Apr-32,    27.256 
May-32,    27.256 
Jun-32,    27.256 
Jul-32,    27.256 
Aug-32,    27.256 
Sep-32,    27.256 
Oct-32,    27.256 
Nov-32,    27.256 
Dec-32,    27.256 
Jan-33,    27.256 
Feb-33,    27.256 
Mar-33,    27.256 
Apr-33,    27.256 
May-33,    27.256 
Jun-33,    27.256 
Jul-33,    27.256 
Aug-33,    27.256 
Sep-33,    27.256 
Oct-33,    27.256 
Nov-33,    27.256 
Dec-33,    27.256 
Jan-34,    27.256 
Feb-34,    27.256 
Mar-34,    27.256 
Apr-34,    27.256 
May-34,    27.256 
Jun-34,    27.256 
Jul-34,    27.256 
Aug-34,    27.256 
Sep-34,    27.256 
Oct-34,    27.256 
Nov-34,    27.256 
Dec-34,    27.256 
Jan-35,    27.256 
Feb-35,    27.256 
Mar-35,    27.256 
Apr-35,    27.256 
May-35,    27.256 
Jun-35,    27.256 
Jul-35,    27.256 
Aug-35,    27.256 
Sep-35,    27.256 
Oct-35,    27.256 
Nov-35,    27.256 
Dec-35,    27.256 
Jan-36,    27.256 
Feb-36,    27.256 
Mar-36,    27.256 
Apr-36,    27.256 
May-36,    27.256 
Jun-36,    27.256 
Jul-36,    27.256 
Aug-36,    27.256 
Sep-36,    27.256 
Oct-36,    27.256 
Nov-36,    27.256 
Dec-36,    27.256 
Jan-37,    27.256 
Feb-37,    27.256 
Mar-37,    27.256 
Apr-37,    27.256 
May-37,    27.256 
Jun-37,    27.256 
Jul-37,    27.256 
Aug-37,    27.256 
Sep-37,    27.256 
Oct-37,    27.256 
Nov-37,    27.256 
Dec-37,    27.256 
Jan-38,    27.256 
Feb-38,    27.256 
Mar-38,    27.256 
Apr-38,    27.256 
May-38,    27.256 
Jun-38,    27.256 
Jul-38,    27.256 
Aug-38,    27.256 
Sep-38,    27.256 
Oct-38,    27.256 
Nov-38,    27.256 
Dec-38,    27.256 
Jan-39,    27.256 
Feb-39,    27.256 
Mar-39,    27.256 
