PILLAR,PRICE
TODAY,31.547
JUL-19,376.5
AUG-19,357
SEP-19,338.25
OCT-19,320.75
NOV-19,309.5
DEC-19,302.25
JAN-20,296
FEB-20,292.75
MAR-20,291.5
APR-20,291.25
MAY-20,291.75
JUN-20,292.5
JUL-20,293.5
AUG-20,294.75
SEP-20,296.25
OCT-20,298.25
NOV-20,300.5
DEC-20,303
JAN-21,305.25
FEB-21,306.5
MAR-21,307.75
APR-21,309
MAY-21,310.25
JUN-21,311.5
JUL-21,312.75
AUG-21,313.75
SEP-21,314.75
OCT-21,315.75
NOV-21,316.75
DEC-21,317.75
JAN-22,317.5
FEB-22,318
MAR-22,318.75
APR-22,319.75
MAY-22,320.75
JUN-22,321.75
JUL-22,322.75
AUG-22,323.75
SEP-22,324.75
OCT-22,325.75
NOV-22,326.75
DEC-22,327.75
JAN-23,328.5
FEB-23,328.75
MAR-23,329
APR-23,329.25
MAY-23,329.5
JUN-23,330
JUL-23,330.5
AUG-23,331
SEP-23,331.5
OCT-23,332.25
NOV-23,333
DEC-23,333.75
JAN-24,334.5
FEB-24,335.25
MAR-24,336
APR-24,336.75
MAY-24,337.5
JUN-24,338.25
JUL-24,339
AUG-24,339.75
SEP-24,340.5
OCT-24,341.25
NOV-24,342
DEC-24,342.75
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
