PILLAR,PRICE
TODAY,408.507
JUL-19,407.25
AUG-19,391.5
SEP-19,374.5
OCT-19,360
NOV-19,349.5
DEC-19,342.25
JAN-20,339.5
FEB-20,336.5
MAR-20,334.5
APR-20,334.5
MAY-20,334.25
JUN-20,334
JUL-20,333.75
AUG-20,333.75
SEP-20,334.25
OCT-20,337
NOV-20,339.25
DEC-20,341.75
JAN-21,342.25
FEB-21,344
MAR-21,345.5
APR-21,348
MAY-21,349.75
JUN-21,351.5
JUL-21,353.25
AUG-21,355.5
SEP-21,357
OCT-21,358.5
NOV-21,360
DEC-21,360
JAN-22,359.75
FEB-22,360.25
MAR-22,361
APR-22,362
MAY-22,363
JUN-22,364
JUL-22,365
AUG-22,366
SEP-22,367
OCT-22,368
NOV-22,369
DEC-22,370
JAN-23,376.93
FEB-23,376.93
MAR-23,376.93
APR-23,376.93
MAY-23,376.93
JUN-23,376.93
JUL-23,376.93
AUG-23,376.93
SEP-23,376.93
OCT-23,376.93
NOV-23,376.93
DEC-23,376.93
JAN-24,376.93
FEB-24,376.93
MAR-24,376.93
APR-24,376.93
MAY-24,376.93
JUN-24,376.93
JUL-24,376.93
AUG-24,376.93
SEP-24,376.93
OCT-24,376.93
NOV-24,376.93
DEC-24,376.93
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
