PILLAR,PRICE
JUL-19,595
AUG-19,597.5
SEP-19,600.5
OCT-19,603.5
NOV-19,602.25
DEC-19,600.25
JAN-20,599.25
FEB-20,598
MAR-20,596.75
APR-20,595.25
MAY-20,593.25
JUN-20,591
JUL-20,591
AUG-20,591.25
SEP-20,591
OCT-20,591.75
NOV-20,589
DEC-20,585.75
JAN-21,585.25
FEB-21,584.5
MAR-21,583.75
APR-21,582
MAY-21,580.25
JUN-21,578
JUL-21,577.75
AUG-21,577.5
SEP-21,577.25
OCT-21,577.5
NOV-21,576
DEC-21,574.25
JAN-22,574.5
FEB-22,575
MAR-22,575
APR-22,575
MAY-22,574.75
JUN-22,574.5
JUL-22,575
AUG-22,575.5
SEP-22,576
OCT-22,576.5
NOV-22,577
DEC-22,577.5
JAN-23,578
FEB-23,578.5
MAR-23,578.75
APR-23,579
MAY-23,579.25
JUN-23,579.5
JUL-23,580
AUG-23,580.5
SEP-23,580.75
OCT-23,581
NOV-23,581.25
DEC-23,581.5
JAN-24,581.75
FEB-24,582
MAR-24,582.25
APR-24,582.5
MAY-24,582.75
JUN-24,583
JUL-24,583.5
AUG-24,584
SEP-24,584.5
OCT-24,585
NOV-24,585.5
DEC-24,586
JAN-25,586.5
FEB-25,587.25
MAR-25,587.75
APR-25,588.25
MAY-25,588.75
JUN-25,589.25
JUL-25,589.75
AUG-25,590.25
SEP-25,590.75
OCT-25,591.25
NOV-25,591.75
DEC-25,592.25
JAN-26,0
FEB-26,0
