PILLAR,PRICE
TODAY,402.493
JUL-19,401.75
AUG-19,385.75
SEP-19,366.75
OCT-19,349
NOV-19,337.5
DEC-19,329.5
JAN-20,323
FEB-20,319
MAR-20,317
APR-20,316.25
MAY-20,315.75
JUN-20,315.5
JUL-20,315.25
AUG-20,315
SEP-20,315.5
OCT-20,317.75
NOV-20,320
DEC-20,322.5
JAN-21,323.5
FEB-21,325.25
MAR-21,326.75
APR-21,329
MAY-21,330.75
JUN-21,332.5
JUL-21,334.25
AUG-21,336.5
SEP-21,338
OCT-21,339.75
NOV-21,341.25
DEC-21,341.25
JAN-22,341
FEB-22,341.5
MAR-22,342.25
APR-22,343.25
MAY-22,344.25
JUN-22,345.25
JUL-22,346.25
AUG-22,347.25
SEP-22,348.25
OCT-22,349.25
NOV-22,350.25
DEC-22,351.25
JAN-23,352
FEB-23,352.25
MAR-23,352.5
APR-23,352.75
MAY-23,353
JUN-23,353.5
JUL-23,354
AUG-23,354.5
SEP-23,355
OCT-23,355.75
NOV-23,356.5
DEC-23,357.25
JAN-24,367.43
FEB-24,367.43
MAR-24,367.43
APR-24,367.43
MAY-24,367.43
JUN-24,367.43
JUL-24,367.43
AUG-24,367.43
SEP-24,367.43
OCT-24,367.43
NOV-24,367.43
DEC-24,367.43
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
