Pillar,Price
Mar-22,    89.340 
Apr-22,    88.170 
May-22,    87.020 
Jun-22,    85.980 
Jul-22,    85.010 
Aug-22,    84.150 
Sep-22,    83.330 
Oct-22,    82.550 
Nov-22,    81.840 
Dec-22,    81.180 
Jan-23,    80.530 
Feb-23,    79.920 
Mar-23,    79.390 
Apr-23,    78.890 
May-23,    78.400 
Jun-23,    77.930 
Jul-23,    77.480 
Aug-23,    77.070 
Sep-23,    76.670 
Oct-23,    76.290 
Nov-23,    75.910 
Dec-23,    75.530 
Jan-24,    75.170 
Feb-24,    74.820 
Mar-24,    74.530 
Apr-24,    74.240 
May-24,    73.930 
Jun-24,    73.650 
Jul-24,    73.400 
Aug-24,    73.170 
Sep-24,    72.900 
Oct-24,    72.620 
Nov-24,    72.350 
Dec-24,    72.120 
Jan-25,    71.990 
Feb-25,    71.840 
Mar-25,    71.640 
Apr-25,    71.410 
May-25,    71.180 
Jun-25,    70.990 
Jul-25,    70.910 
Aug-25,    70.770 
Sep-25,    70.570 
Oct-25,    70.390 
Nov-25,    70.200 
Dec-25,    70.030 
Jan-26,    69.950 
Feb-26,    69.860 
Mar-26,    69.770 
Apr-26,    69.680 
May-26,    69.580 
Jun-26,    69.430 
Jul-26,    69.370 
Aug-26,    69.300 
Sep-26,    69.230 
Oct-26,    69.140 
Nov-26,    69.010 
Dec-26,    68.840 
Jan-27,    68.810 
Feb-27,    68.780 
Mar-27,    68.750 
Apr-27,    68.720 
May-27,    68.700 
Jun-27,    68.670 
Jul-27,    68.650 
Aug-27,    68.630 
Sep-27,    68.590 
Oct-27,    68.560 
Nov-27,    68.530 
Dec-27,    68.460 
Jan-28,    68.480 
Feb-28,    68.490 
Mar-28,    68.500 
Apr-28,    68.510 
May-28,    68.520 
Jun-28,    68.520 
Jul-28,    68.540 
Aug-28,    68.550 
Sep-28,    68.560 
Oct-28,    68.570 
Nov-28,    68.560 
Dec-28,    68.560 
Jan-29,    68.580 
Feb-29,    68.590 
Mar-29,    68.600 
Apr-29,    68.600 
May-29,    68.600 
Jun-29,    68.600 
Jul-29,    68.600 
Aug-29,    68.600 
Sep-29,    68.600 
Oct-29,    68.600 
Nov-29,    68.600 
Dec-29,    68.600 
Jan-30,    68.600 
Feb-30,    68.600 
Mar-30,    68.600 
Apr-30,    68.600 
May-30,    68.600 
Jun-30,    68.600 
Jul-30,    68.600 
Aug-30,    68.600 
Sep-30,    68.600 
Oct-30,    68.600 
Nov-30,    68.600 
Dec-30,    68.600 
Jan-31,    68.600 
Feb-31,    68.600 
Mar-31,    68.600 
Apr-31,    68.600 
May-31,    68.600 
Jun-31,    68.600 
Jul-31,    68.600 
Aug-31,    68.600 
Sep-31,    68.600 
Oct-31,    68.600 
Nov-31,    68.600 
Dec-31,    68.600 
Jan-32,    68.600 
Feb-32,    68.600 
Mar-32,    68.600 
