PILLAR,PRICE
Jul-19,20.5
Aug-19,20.5
Sep-19,20.5
Oct-19,20.5
Nov-19,20.5
Dec-19,20.5
Jan-20,20.5
Feb-20,20.5
Mar-20,20.5
Apr-20,20.5
May-20,20.5
Jun-20,20.5
Jul-20,20.5
Aug-20,20.5
Sep-20,20.5
Oct-20,20.5
Nov-20,20.5
Dec-20,20.5
Jan-21,20.5
Feb-21,20.5
Mar-21,20.5
Apr-21,20.5
May-21,20.5
Jun-21,20.5
Jul-21,20.5
Aug-21,20.5
Sep-21,20.5
Oct-21,20.5
Nov-21,20.5
Dec-21,20.5
Jan-22,20.5
Feb-22,20.5
Mar-22,20.5
Apr-22,20.5
May-22,20.5
Jun-22,20.5
Jul-22,20.5
Aug-22,20.5
Sep-22,20.5
Oct-22,20.5
Nov-22,20.5
Dec-22,20.5
Jan-23,20.5
Feb-23,20.5
Mar-23,20.5
Apr-23,20.5
May-23,20.5
Jun-23,20.5
Jul-23,20.5
Aug-23,20.5
Sep-23,20.5
Oct-23,20.5
Nov-23,20.5
Dec-23,20.5
Jan-24,20.5
Feb-24,20.5
Mar-24,20.5
Apr-24,20.5
May-24,20.5
Jun-24,20.5
Jul-24,20.5
Aug-24,20.5
Sep-24,20.5
Oct-24,20.5
Nov-24,20.5
Dec-24,20.5
Jan-25,20.5
Feb-25,20.5
Mar-25,20.5
Apr-25,20.5
May-25,20.5
Jun-25,20.5
Jul-25,20.5
Aug-25,20.5
Sep-25,20.5
Oct-25,20.5
Nov-25,20.5
Dec-25,20.5
Jan-26,20.5
Feb-26,20.5
Mar-26,20.5
Apr-26,20.5
May-26,20.5
Jun-26,20.5
Jul-26,20.5
Aug-26,20.5
Sep-26,20.5
Oct-26,20.5
Nov-26,20.5
Dec-26,20.5
Jan-27,20.5
Feb-27,20.5
Mar-27,20.5
Apr-27,20.5
May-27,20.5
Jun-27,20.5
Jul-27,20.5
Aug-27,20.5
Sep-27,20.5
Oct-27,20.5
Nov-27,20.5
Dec-27,20.5
Jan-28,20.5
Feb-28,20.5
Mar-28,20.5
Apr-28,20.5
May-28,20.5
Jun-28,20.5
Jul-28,20.5
Aug-28,20.5
Sep-28,20.5
Oct-28,20.5
Nov-28,20.5
Dec-28,20.5
Jan-29,20.5
Feb-29,20.5
Mar-29,20.5
Apr-29,20.5
May-29,20.5
