PILLAR,PRICE
AUG-19,4.75
SEP-19,4.75
OCT-19,5.225
NOV-19,6.275
DEC-19,7.175
JAN-20,7.775
FEB-20,7.775
MAR-20,7.1
APR-20,6.325
MAY-20,6.15
JUN-20,6.125
JUL-20,6.15
AUG-20,6.225
SEP-20,6.375
OCT-20,6.675
NOV-20,7.05
DEC-20,7.575
JAN-21,8.15
FEB-21,8
MAR-21,7.775
APR-21,6.95
MAY-21,6.425
JUN-21,6.175
JUL-21,5.975
AUG-21,5.975
SEP-21,6.025
OCT-21,6.525
NOV-21,7.05
DEC-21,7.775
JAN-22,8.375
FEB-22,8.225
MAR-22,7.925
APR-22,7.1
MAY-22,6.55
JUN-22,6.325
JUL-22,6.075
AUG-22,6.075
SEP-22,6.175
OCT-22,6.65
NOV-22,7.2
DEC-22,7.925
JAN-23,8.375
FEB-23,8.225
MAR-23,7.925
APR-23,7.1
MAY-23,6.55
JUN-23,6.325
JUL-23,6.075
AUG-23,6.075
SEP-23,6.175
OCT-23,6.65
NOV-23,7.2
DEC-23,7.925
JAN-24,0
FEB-24,0
MAR-24,0
APR-24,0
MAY-24,0
