Pillar,Price
Mar-22,    28.638 
Apr-22,    29.248 
May-22,    28.695 
Jun-22,    29.063 
Jul-22,    29.139 
Aug-22,    29.171 
Sep-22,    29.312 
Oct-22,    29.710 
Nov-22,    30.189 
Dec-22,    30.882 
Jan-23,    31.058 
Feb-23,    30.614 
Mar-23,    28.840 
Apr-23,    16.529 
May-23,    14.700 
Jun-23,    14.513 
Jul-23,    14.194 
Aug-23,    14.423 
Sep-23,    14.578 
Oct-23,    15.156 
Nov-23,    15.669 
Dec-23,    15.946 
Jan-24,    15.824 
Feb-24,    15.705 
Mar-24,    15.541 
Apr-24,    11.694 
May-24,    10.589 
Jun-24,    10.222 
Jul-24,    10.534 
Aug-24,    10.529 
Sep-24,    10.699 
Oct-24,    10.993 
Nov-24,    11.401 
Dec-24,    11.905 
Jan-25,    12.205 
Feb-25,    12.268 
Mar-25,    11.771 
Apr-25,       9.869 
May-25,       9.367 
Jun-25,       9.009 
Jul-25,       8.957 
Aug-25,       9.058 
Sep-25,       9.176 
Oct-25,       9.471 
Nov-25,       9.832 
Dec-25,    10.395 
Jan-26,    11.342 
Feb-26,    11.288 
Mar-26,    10.940 
Apr-26,       8.445 
May-26,       7.978 
Jun-26,       7.674 
Jul-26,       7.701 
Aug-26,       7.783 
Sep-26,       7.944 
Oct-26,       8.218 
Nov-26,       8.559 
Dec-26,       9.148 
Jan-27,    10.275 
Feb-27,    10.240 
Mar-27,       9.939 
Apr-27,       8.404 
May-27,       7.885 
Jun-27,       7.575 
Jul-27,       7.571 
Aug-27,       7.633 
Sep-27,       7.747 
Oct-27,       8.048 
Nov-27,       8.346 
Dec-27,       8.888 
Jan-28,       9.158 
Feb-28,    10.203 
Mar-28,       9.909 
Apr-28,       8.382 
May-28,       7.868 
Jun-28,       7.563 
Jul-28,       7.562 
Aug-28,       7.630 
Sep-28,       7.748 
Oct-28,       8.052 
Nov-28,       8.358 
Dec-28,       8.901 
Jan-29,       9.172 
Feb-29,    10.217 
Mar-29,       9.920 
Apr-29,       8.391 
May-29,       7.876 
Jun-29,       7.569 
Jul-29,       7.567 
Aug-29,       7.633 
Sep-29,       7.751 
Oct-29,       8.056 
Nov-29,       8.362 
Dec-29,       8.902 
Jan-30,       9.172 
Feb-30,    10.217 
Mar-30,       9.920 
Apr-30,       8.391 
May-30,       7.876 
Jun-30,       7.569 
Jul-30,       7.567 
Aug-30,       7.633 
Sep-30,       7.751 
Oct-30,       8.056 
Nov-30,       8.362 
Dec-30,       8.902 
Jan-31,       9.172 
Feb-31,    10.217 
Mar-31,       9.920 
Apr-31,       8.391 
May-31,       7.876 
Jun-31,       7.569 
Jul-31,       7.567 
Aug-31,       7.633 
Sep-31,       7.751 
Oct-31,       8.056 
Nov-31,       8.362 
Dec-31,       8.902 
Jan-32,       9.172 
Feb-32,    10.217 
Mar-32,       9.920 
Apr-32,       8.391 
May-32,       7.876 
Jun-32,       7.569 
Jul-32,       7.567 
Aug-32,       7.633 
Sep-32,       7.751 
Oct-32,       8.056 
Nov-32,       8.362 
Dec-32,       8.902 
Jan-33,       9.172 
Feb-33,    10.217 
Mar-33,       9.920 
Apr-33,       8.391 
May-33,       7.876 
Jun-33,       7.569 
Jul-33,       7.567 
Aug-33,       7.633 
Sep-33,       7.751 
Oct-33,       8.056 
Nov-33,       8.362 
Dec-33,       8.902 
Jan-34,       9.172 
Feb-34,    10.217 
Mar-34,       9.920 
Apr-34,       8.391 
May-34,       7.876 
Jun-34,       7.569 
Jul-34,       7.567 
Aug-34,       7.633 
Sep-34,       7.751 
Oct-34,       8.056 
Nov-34,       8.362 
Dec-34,       8.902 
Jan-35,       9.172 
Feb-35,    10.217 
Mar-35,       9.920 
Apr-35,       8.391 
May-35,       7.876 
Jun-35,       7.569 
Jul-35,       7.567 
Aug-35,       7.633 
Sep-35,       7.751 
Oct-35,       8.056 
Nov-35,       8.362 
Dec-35,       8.902 
Jan-36,       9.172 
Feb-36,    10.217 
Mar-36,       9.920 
Apr-36,       8.391 
May-36,       7.876 
Jun-36,       7.569 
Jul-36,       7.567 
Aug-36,       7.633 
Sep-36,       7.751 
Oct-36,       8.056 
Nov-36,       8.362 
Dec-36,       8.902 
Jan-37,       9.172 
Feb-37,    10.217 
Mar-37,       9.920 
Apr-37,       8.391 
May-37,       7.876 
Jun-37,       7.569 
Jul-37,       7.567 
Aug-37,       7.633 
Sep-37,       7.751 
Oct-37,       8.056 
Nov-37,       8.362 
Dec-37,       8.902 
Jan-38,       9.172 
Feb-38,    10.217 
Mar-38,       9.920 
Apr-38,       8.391 
May-38,       7.876 
Jun-38,       7.569 
Jul-38,       7.567 
Aug-38,       7.633 
Sep-38,       7.751 
Oct-38,       8.056 
Nov-38,       8.362 
Dec-38,       8.902 
Jan-39,       9.172 
Feb-39,    10.217 
Mar-39,       9.920 
Apr-39,       8.391 
May-39,       7.876 
Jun-39,       7.569 
Jul-39,       7.567 
Aug-39,       7.633 
Sep-39,       7.751 
Oct-39,       8.056 
Nov-39,       8.362 
Dec-39,       8.902 
Jan-40,       9.172 
Feb-40,    10.217 
Mar-40,       9.920 
Apr-40,       8.391 
May-40,       7.876 
Jun-40,       7.569 
Jul-40,       7.567 
Aug-40,       7.633 
Sep-40,       7.751 
Oct-40,       8.056 
Nov-40,       8.362 
Dec-40,       8.902 
Jan-41,       9.172 
Feb-41,    10.217 
Mar-41,       9.920 
Apr-41,       8.391 
May-41,       7.876 
Jun-41,       7.569 
Jul-41,       7.567 
Aug-41,       7.633 
Sep-41,       7.751 
Oct-41,       8.056 
Nov-41,       8.362 
Dec-41,       8.902 
Jan-42,       9.172 
Feb-42,    10.217 
