PILLAR,PRICE
AUG-19,62.48
SEP-19,61.55
OCT-19,61.03
NOV-19,60.78
DEC-19,60.6
JAN-20,60.44
FEB-20,60.29
MAR-20,60.16
APR-20,60.06
MAY-20,59.97
JUN-20,59.87
JUL-20,59.75
AUG-20,59.67
SEP-20,59.55
OCT-20,59.44
NOV-20,59.31
DEC-20,59.17
JAN-21,59.09
FEB-21,59.03
MAR-21,58.99
APR-21,58.96
MAY-21,58.93
JUN-21,58.9
JUL-21,58.86
AUG-21,58.83
SEP-21,58.81
OCT-21,58.79
NOV-21,58.77
DEC-21,58.75
JAN-22,58.75
FEB-22,58.77
MAR-22,58.79
APR-22,58.81
MAY-22,58.83
JUN-22,58.86
JUL-22,58.89
AUG-22,58.92
SEP-22,58.95
OCT-22,58.98
NOV-22,59.01
DEC-22,59.04
JAN-23,59.1
FEB-23,59.15
MAR-23,59.21
APR-23,59.27
MAY-23,59.33
