Pillar,Price
Dec-19,6.05
Jan-20,5.95
Feb-20,6.125
Mar-20,5.745
Apr-20,5.325
May-20,5.145
Jun-20,5.115
Jul-20,5.135
Aug-20,5.3
Sep-20,5.46
Oct-20,5.61
Nov-20,6.26
Dec-20,6.86
Jan-21,7.155
Feb-21,7.12
Mar-21,6.74
Apr-21,6.03
May-21,6.005
Jun-21,5.975
Jul-21,6
Aug-21,6.125
Sep-21,6.26
Oct-21,6.34
Nov-21,6.85
Dec-21,7.43
Jan-22,7.595
Feb-22,7.45
Mar-22,7.225
Apr-22,6.48
May-22,6.035
Jun-22,5.82
Jul-22,5.76
Aug-22,5.75
Sep-22,5.89
Oct-22,6.39
Nov-22,6.915
Dec-22,7.665
Jan-23,7.681
Feb-23,7.606
Mar-23,7.456
Apr-23,6.681
May-23,6.206
Jun-23,5.956
Jul-23,5.856
Aug-23,5.806
Sep-23,5.906
Oct-23,6.356
Nov-23,6.831
Dec-23,7.531
