Pillar,Price
Feb-22,       6.265 
Mar-22,       4.283 
Apr-22,       4.207 
May-22,       4.233 
Jun-22,       4.275 
Jul-22,       4.325 
Aug-22,       4.332 
Sep-22,       4.310 
Oct-22,       4.333 
Nov-22,       4.410 
Dec-22,       4.569 
Jan-23,       4.665 
Feb-23,       4.519 
Mar-23,       4.140 
Apr-23,       3.365 
May-23,       3.282 
Jun-23,       3.313 
Jul-23,       3.351 
Aug-23,       3.363 
Sep-23,       3.354 
Oct-23,       3.389 
Nov-23,       3.497 
Dec-23,       3.705 
Jan-24,       3.827 
Feb-24,       3.705 
Mar-24,       3.449 
Apr-24,       2.994 
May-24,       2.955 
Jun-24,       3.005 
Jul-24,       3.061 
Aug-24,       3.083 
Sep-24,       3.077 
Oct-24,       3.117 
Nov-24,       3.229 
Dec-24,       3.485 
Jan-25,       3.617 
Feb-25,       3.526 
Mar-25,       3.290 
Apr-25,       2.880 
May-25,       2.845 
Jun-25,       2.893 
Jul-25,       2.943 
Aug-25,       2.960 
Sep-25,       2.949 
Oct-25,       2.986 
Nov-25,       3.122 
Dec-25,       3.370 
Jan-26,       3.504 
Feb-26,       3.429 
Mar-26,       3.249 
Apr-26,       2.869 
May-26,       2.834 
Jun-26,       2.880 
Jul-26,       2.927 
Aug-26,       2.944 
Sep-26,       2.942 
Oct-26,       2.978 
Nov-26,       3.113 
Dec-26,       3.363 
Jan-27,       3.498 
Feb-27,       3.448 
Mar-27,       3.303 
Apr-27,       2.903 
May-27,       2.888 
Jun-27,       2.927 
Jul-27,       2.965 
Aug-27,       2.970 
Sep-27,       2.964 
Oct-27,       2.992 
Nov-27,       3.116 
Dec-27,       3.366 
Jan-28,       3.516 
Feb-28,       3.476 
Mar-28,       3.350 
Apr-28,       2.979 
May-28,       2.962 
Jun-28,       3.008 
Jul-28,       3.049 
Aug-28,       3.053 
Sep-28,       3.057 
Oct-28,       3.097 
Nov-28,       3.222 
Dec-28,       3.462 
Jan-29,       3.612 
Feb-29,       3.572 
Mar-29,       3.437 
Apr-29,       3.062 
May-29,       3.036 
Jun-29,       3.071 
Jul-29,       3.111 
Aug-29,       3.126 
Sep-29,       3.121 
Oct-29,       3.161 
Nov-29,       3.276 
Dec-29,       3.500 
Jan-30,       3.645 
Feb-30,       3.615 
Mar-30,       3.494 
Apr-30,       3.144 
May-30,       3.122 
Jun-30,       3.157 
Jul-30,       3.197 
Aug-30,       3.237 
Sep-30,       3.252 
Oct-30,       3.298 
Nov-30,       3.408 
Dec-30,       3.608 
Jan-31,       3.743 
Feb-31,       3.703 
Mar-31,       3.598 
Apr-31,       3.268 
May-31,       3.246 
Jun-31,       3.281 
Jul-31,       3.321 
Aug-31,       3.361 
Sep-31,       3.376 
Oct-31,       3.424 
Nov-31,       3.522 
Dec-31,       3.722 
Jan-32,       3.867 
Feb-32,       3.827 
Mar-32,       3.727 
Apr-32,       3.397 
May-32,       3.375 
Jun-32,       3.410 
Jul-32,       3.450 
Aug-32,       3.490 
Sep-32,       3.505 
Oct-32,       3.551 
Nov-32,       3.651 
Dec-32,       3.847 
Jan-33,       3.997 
Feb-33,       3.957 
Mar-33,       3.862 
Apr-33,       3.532 
May-33,       3.510 
Jun-33,       3.545 
Jul-33,       3.585 
Aug-33,       3.625 
Sep-33,       3.640 
Oct-33,       3.686 
Nov-33,       3.786 
Dec-33,       3.986 
Jan-34,       4.136 
Feb-34,       4.101 
Mar-34,       4.016 
Apr-34,       3.686 
May-34,       3.664 
Jun-34,       3.699 
Jul-34,       3.739 
Aug-34,       3.779 
Sep-34,       3.794 
Oct-34,       3.840 
Nov-34,       3.912 
Dec-34,       4.067 
Jan-35,       4.136 
Feb-35,       4.101 
Mar-35,       4.016 
Apr-35,       3.686 
May-35,       3.664 
Jun-35,       3.699 
Jul-35,       3.739 
Aug-35,       3.779 
Sep-35,       3.794 
Oct-35,       3.840 
Nov-35,       3.912 
Dec-35,       4.067 
Jan-36,       4.136 
Feb-36,       4.101 
Mar-36,       4.016 
Apr-36,       3.686 
May-36,       3.664 
Jun-36,       3.699 
Jul-36,       3.739 
Aug-36,       3.779 
Sep-36,       3.794 
Oct-36,       3.840 
Nov-36,       3.912 
Dec-36,       4.067 
Jan-37,       4.136 
Feb-37,       4.101 
Mar-37,       4.016 
Apr-37,       3.686 
May-37,       3.664 
Jun-37,       3.699 
Jul-37,       3.739 
Aug-37,       3.779 
Sep-37,       3.794 
Oct-37,       3.840 
Nov-37,       3.912 
Dec-37,       4.067 
Jan-38,       4.136 
Feb-38,       4.101 
Mar-38,       4.016 
Apr-38,       3.686 
May-38,       3.664 
Jun-38,       3.699 
Jul-38,       3.739 
Aug-38,       3.779 
Sep-38,       3.794 
Oct-38,       3.840 
Nov-38,       3.912 
Dec-38,       4.067 
Jan-39,       4.136 
Feb-39,       4.101 
Mar-39,       4.016 
Apr-39,       3.686 
May-39,       3.664 
Jun-39,       3.699 
Jul-39,       3.739 
Aug-39,       3.779 
Sep-39,       3.794 
Oct-39,       3.840 
Nov-39,       3.912 
Dec-39,       4.067 
Jan-40,       4.136 
Feb-40,       4.101 
Mar-40,       4.016 
Apr-40,       3.686 
May-40,       3.664 
Jun-40,       3.699 
Jul-40,       3.739 
Aug-40,       3.779 
Sep-40,       3.794 
Oct-40,       3.840 
Nov-40,       3.912 
Dec-40,       4.067 
