PILLAR,PRICE
TODAY,63.968
JUL-19,78.322
AUG-19,78.532
SEP-19,78.722
OCT-19,78.692
NOV-19,78.622
DEC-19,78.512
JAN-20,78.472
FEB-20,78.332
MAR-20,78.203
APR-20,78.103
MAY-20,78.033
JUN-20,77.973
JUL-20,77.973
AUG-20,77.863
SEP-20,77.743
OCT-20,77.603
NOV-20,77.343
DEC-20,77.033
JAN-21,76.772
FEB-21,76.699
MAR-21,76.49
APR-21,76.323
MAY-21,76.098
JUN-21,75.889
JUL-21,75.834
AUG-21,75.737
SEP-21,75.708
OCT-21,75.599
NOV-21,75.29
DEC-21,75.147
JAN-22,75.205
FEB-22,75.225
MAR-22,75.222
APR-22,75.202
MAY-22,75.171
JUN-22,75.208
JUL-22,75.274
AUG-22,75.34
SEP-22,75.406
OCT-22,75.47
NOV-22,75.544
DEC-22,75.607
JAN-23,78.32
FEB-23,78.32
MAR-23,78.32
APR-23,78.32
MAY-23,78.32
JUN-23,78.32
JUL-23,78.32
AUG-23,78.32
SEP-23,78.32
OCT-23,78.32
NOV-23,78.32
DEC-23,78.32
JAN-24,78.32
FEB-24,78.32
MAR-24,78.32
APR-24,78.32
MAY-24,78.32
JUN-24,78.32
JUL-24,78.32
AUG-24,78.32
SEP-24,78.32
OCT-24,78.32
NOV-24,78.32
DEC-24,78.32
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
