PILLAR,PRICE
TODAY,0
JUL-19,78.892
AUG-19,78.772
SEP-19,78.902
OCT-19,78.862
NOV-19,78.782
DEC-19,78.662
JAN-20,78.612
FEB-20,78.472
MAR-20,78.343
APR-20,78.233
MAY-20,78.133
JUN-20,78.063
JUL-20,78.073
AUG-20,77.983
SEP-20,77.893
OCT-20,77.813
NOV-20,77.603
DEC-20,77.333
JAN-21,77.152
FEB-21,77.109
MAR-21,76.97
APR-21,76.833
MAY-21,76.608
JUN-21,76.399
JUL-21,76.344
AUG-21,76.247
SEP-21,76.218
OCT-21,76.109
NOV-21,75.8
DEC-21,75.657
JAN-22,75.715
FEB-22,75.735
MAR-22,75.732
APR-22,75.712
MAY-22,75.681
JUN-22,75.718
JUL-22,75.784
AUG-22,75.85
SEP-22,75.916
OCT-22,75.98
NOV-22,76.054
DEC-22,76.117
JAN-23,0
FEB-23,0
MAR-23,0
APR-23,0
MAY-23,0
JUN-23,0
JUL-23,0
AUG-23,0
SEP-23,0
OCT-23,0
NOV-23,0
DEC-23,0
JAN-24,0
FEB-24,0
MAR-24,0
APR-24,0
MAY-24,0
JUN-24,0
JUL-24,0
AUG-24,0
SEP-24,0
OCT-24,0
NOV-24,0
DEC-24,0
JAN-25,0
FEB-25,0
MAR-25,0
APR-25,0
MAY-25,0
JUN-25,0
JUL-25,0
AUG-25,0
SEP-25,0
OCT-25,0
NOV-25,0
DEC-25,0
JAN-26,0
FEB-26,0
MAR-26,0
APR-26,0
MAY-26,0
JUN-26,0
JUL-26,0
AUG-26,0
SEP-26,0
OCT-26,0
NOV-26,0
DEC-26,0
JAN-27,0
FEB-27,0
MAR-27,0
APR-27,0
MAY-27,0
JUN-27,0
JUL-27,0
AUG-27,0
SEP-27,0
OCT-27,0
NOV-27,0
DEC-27,0
JAN-28,0
FEB-28,0
MAR-28,0
APR-28,0
MAY-28,0
JUN-28,0
JUL-28,0
AUG-28,0
SEP-28,0
OCT-28,0
NOV-28,0
DEC-28,0
JAN-29,0
FEB-29,0
MAR-29,0
APR-29,0
MAY-29,0
