Pillar,Price
Jan-22,    30.153 
Feb-22,    30.161 
Mar-22,    30.049 
Apr-22,    29.043 
May-22,    28.646 
Jun-22,    28.610 
Jul-22,    28.586 
Aug-22,    28.565 
Sep-22,    28.668 
Oct-22,    28.831 
Nov-22,    29.087 
Dec-22,    29.286 
Jan-23,    29.369 
Feb-23,    29.449 
Mar-23,    27.831 
Apr-23,    15.501 
May-23,    14.193 
Jun-23,    14.030 
Jul-23,    13.957 
Aug-23,    13.979 
Sep-23,    13.973 
Oct-23,    14.131 
Nov-23,    14.563 
Dec-23,    14.809 
Jan-24,    14.599 
Feb-24,    14.593 
Mar-24,    14.357 
Apr-24,    11.184 
May-24,    10.109 
Jun-24,       9.708 
Jul-24,    10.020 
Aug-24,       9.959 
Sep-24,    10.090 
Oct-24,    10.259 
Nov-24,    10.551 
Dec-24,    10.690 
Jan-25,    10.852 
Feb-25,    10.694 
Mar-25,    10.285 
Apr-25,       9.154 
May-25,       8.946 
Jun-25,       8.722 
Jul-25,       8.587 
Aug-25,       8.675 
Sep-25,       8.685 
Oct-25,       8.924 
Nov-25,       9.138 
Dec-25,       9.479 
Jan-26,       9.512 
Feb-26,       9.388 
Mar-26,       9.239 
Apr-26,       8.008 
May-26,       7.892 
Jun-26,       7.734 
Jul-26,       7.611 
Aug-26,       7.735 
Sep-26,       7.957 
Oct-26,       8.133 
Nov-26,       8.368 
Dec-26,       8.579 
Jan-27,       8.659 
Feb-27,       8.467 
Mar-27,       8.306 
Apr-27,       7.967 
May-27,       7.834 
Jun-27,       7.757 
Jul-27,       7.678 
Aug-27,       7.762 
Sep-27,       7.928 
Oct-27,       8.206 
Nov-27,       8.394 
Dec-27,       8.476 
Jan-28,       8.647 
Feb-28,       8.651 
Mar-28,       8.480 
Apr-28,       8.026 
May-28,       7.854 
Jun-28,       7.779 
Jul-28,       7.728 
Aug-28,       7.814 
Sep-28,       8.025 
Oct-28,       8.353 
Nov-28,       8.559 
Dec-28,       8.649 
Jan-29,       8.451 
Feb-29,       8.342 
Mar-29,       8.220 
Apr-29,       7.988 
May-29,       7.845 
Jun-29,       7.691 
Jul-29,       7.628 
Aug-29,       7.723 
Sep-29,       7.923 
Oct-29,       8.238 
Nov-29,       8.442 
Dec-29,       8.531 
Jan-30,       8.444 
Feb-30,       8.329 
Mar-30,       8.205 
Apr-30,       7.945 
May-30,       7.796 
Jun-30,       7.640 
Jul-30,       7.583 
Aug-30,       7.675 
Sep-30,       7.882 
Oct-30,       8.206 
Nov-30,       8.408 
Dec-30,       8.497 
Jan-31,       8.405 
Feb-31,       8.293 
Mar-31,       8.164 
Apr-31,       7.898 
May-31,       7.751 
Jun-31,       7.596 
Jul-31,       7.542 
Aug-31,       7.633 
Sep-31,       7.841 
Oct-31,       8.168 
Nov-31,       8.379 
Dec-31,       8.473 
Jan-32,       8.405 
Feb-32,       8.293 
Mar-32,       8.164 
Apr-32,       7.898 
May-32,       7.751 
Jun-32,       7.596 
Jul-32,       7.542 
Aug-32,       7.633 
Sep-32,       7.841 
Oct-32,       8.168 
Nov-32,       8.379 
Dec-32,       8.473 
Jan-33,       8.405 
Feb-33,       8.293 
Mar-33,       8.164 
Apr-33,       7.898 
May-33,       7.751 
Jun-33,       7.596 
Jul-33,       7.542 
Aug-33,       7.633 
Sep-33,       7.841 
Oct-33,       8.168 
Nov-33,       8.379 
Dec-33,       8.473 
Jan-34,       8.405 
Feb-34,       8.293 
Mar-34,       8.164 
Apr-34,       7.898 
May-34,       7.751 
Jun-34,       7.596 
Jul-34,       7.542 
Aug-34,       7.633 
Sep-34,       7.841 
Oct-34,       8.168 
Nov-34,       8.379 
Dec-34,       8.473 
Jan-35,       8.405 
Feb-35,       8.293 
Mar-35,       8.164 
Apr-35,       7.898 
May-35,       7.751 
Jun-35,       7.596 
Jul-35,       7.542 
Aug-35,       7.633 
Sep-35,       7.841 
Oct-35,       8.168 
Nov-35,       8.379 
Dec-35,       8.473 
Jan-36,       8.405 
Feb-36,       8.293 
Mar-36,       8.164 
Apr-36,       7.898 
May-36,       7.751 
Jun-36,       7.596 
Jul-36,       7.542 
Aug-36,       7.633 
Sep-36,       7.841 
Oct-36,       8.168 
Nov-36,       8.379 
Dec-36,       8.473 
Jan-37,       8.405 
Feb-37,       8.293 
Mar-37,       8.164 
Apr-37,       7.898 
May-37,       7.751 
Jun-37,       7.596 
Jul-37,       7.542 
Aug-37,       7.633 
Sep-37,       7.841 
Oct-37,       8.168 
Nov-37,       8.379 
Dec-37,       8.473 
Jan-38,       8.405 
Feb-38,       8.293 
Mar-38,       8.164 
Apr-38,       7.898 
May-38,       7.751 
Jun-38,       7.596 
Jul-38,       7.542 
Aug-38,       7.633 
Sep-38,       7.841 
Oct-38,       8.168 
Nov-38,       8.379 
Dec-38,       8.473 
Jan-39,       8.405 
Feb-39,       8.293 
Mar-39,       8.164 
Apr-39,       7.898 
May-39,       7.751 
Jun-39,       7.596 
Jul-39,       7.542 
Aug-39,       7.633 
Sep-39,       7.841 
Oct-39,       8.168 
Nov-39,       8.379 
Dec-39,       8.473 
Jan-40,       8.405 
Feb-40,       8.293 
Mar-40,       8.164 
Apr-40,       7.898 
May-40,       7.751 
Jun-40,       7.596 
Jul-40,       7.542 
Aug-40,       7.633 
Sep-40,       7.841 
Oct-40,       8.168 
Nov-40,       8.379 
Dec-40,       8.473 
