Date,BRT,DBRT,JKM,NG,TTF,NBP
Friday February 21 2020,58.500,58.565,3.024,1.905,2.992,2.970
Monday February 24 2020,56.300,55.975,2.894,1.827,2.877,2.918
Tuesday February 25 2020,54.950,56.170,2.904,1.847,2.867,2.933
Wednesday February 26 2020,53.430,54.945,3.094,1.821,2.889,2.979
Thursday February 27 2020,52.180,52.265,3.045,1.752,2.835,2.727
Friday February 28 2020,49.670,50.490,3.125,1.684,2.856,2.772
Monday March 02 2020,51.900,51.675,3.167,1.756,2.899,2.853
Tuesday March 03 2020,51.860,52.110,3.168,1.800,3.004,2.973
Wednesday March 04 2020,51.130,51.720,3.163,1.827,2.909,2.870
Thursday March 05 2020,49.990,51.505,3.377,1.772,2.901,2.889
Friday March 06 2020,45.270,45.510,3.388,1.708,2.866,2.848
Monday March 09 2020,34.360,35.450,3.293,1.778,2.887,2.834
Tuesday March 10 2020,37.220,35.565,3.300,1.936,2.990,2.978
Wednesday March 11 2020,35.790,34.875,3.400,1.878,3.096,3.116
Thursday March 12 2020,33.220,30.805,3.485,1.841,3.029,3.015
Friday March 13 2020,33.850,31.845,3.500,1.869,3.014,2.978
Monday March 16 2020,30.050,27.945,3.511,1.815,2.853,2.821
Tuesday March 17 2020,28.730,27.800,3.538,1.729,2.724,2.686
Wednesday March 18 2020,24.880,22.990,3.538,1.604,2.625,2.607
Thursday March 19 2020,28.470,24.120,3.538,1.654,2.683,2.707
Friday March 20 2020,26.980,25.380,3.513,1.604,2.596,2.613
Monday March 23 2020,27.030,22.195,3.513,1.602,2.475,2.485
Tuesday March 24 2020,27.150,24.595,3.303,1.653,2.501,2.544
Wednesday March 25 2020,27.390,24.040,3.063,1.659,2.457,2.426
Thursday March 26 2020,26.340,23.550,2.885,1.637,2.447,2.408
Friday March 27 2020,24.930,21.100,2.797,1.634,2.338,2.280
Monday March 30 2020,22.760,17.790,2.622,1.690,2.227,2.038
Tuesday March 31 2020,26.350,17.675,2.350,1.640,2.219,2.026
Wednesday April 01 2020,24.740,15.135,2.263,1.587,2.185,1.993
Thursday April 02 2020,29.940,19.125,2.263,1.552,2.208,2.015
Friday April 03 2020,34.110,23.670,2.313,1.621,2.191,1.988
Monday April 06 2020,33.050,22.475,2.363,1.731,2.303,2.081
Tuesday April 07 2020,31.870,22.970,2.388,1.852,2.323,2.102
Wednesday April 08 2020,32.840,22.320,2.400,1.783,2.311,2.088
Thursday April 09 2020,31.480,23.730,2.350,1.733,2.333,2.102
Monday April 13 2020,31.740,,2.350,1.724,,
Tuesday April 14 2020,29.600,20.655,2.350,1.650,2.210,1.955
Wednesday April 15 2020,27.690,18.075,2.288,1.598,2.124,1.835
Thursday April 16 2020,27.820,18.855,2.388,1.686,2.196,1.892
Friday April 17 2020,28.080,20.140,2.186,1.753,2.232,1.920
Monday April 20 2020,25.570,19.095,2.175,1.924,2.110,1.722
Tuesday April 21 2020,19.330,13.240,2.040,1.821,2.010,1.717
Wednesday April 22 2020,20.370,14.210,2.000,1.939,1.976,1.779
Thursday April 23 2020,21.330,16.295,1.938,1.815,1.922,1.712
Friday April 24 2020,21.440,16.010,1.925,1.746,1.828,1.574
Monday April 27 2020,19.990,13.615,1.900,1.819,1.887,1.631
Tuesday April 28 2020,20.460,14.675,1.825,1.794,1.952,1.720
Wednesday April 29 2020,22.540,16.945,1.825,1.869,2.007,1.739
Thursday April 30 2020,26.480,19.670,1.863,1.949,1.996,1.749
Friday May 01 2020,26.440,19.360,,1.890,1.885,1.666
Monday May 04 2020,27.200,19.320,1.863,1.993,1.836,1.715
Tuesday May 05 2020,30.970,23.835,2.025,2.134,1.803,1.692
Wednesday May 06 2020,29.720,23.020,2.025,1.944,1.823,1.690
Thursday May 07 2020,29.460,25.095,,1.894,1.846,1.717
Friday May 08 2020,30.970,,2.196,1.823,,
Monday May 11 2020,29.630,25.465,2.325,1.826,1.810,1.642
Tuesday May 12 2020,29.980,26.445,2.438,1.720,1.693,1.504
Wednesday May 13 2020,29.190,28.000,2.450,1.616,1.626,1.468
